RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8
BRP,39,111,112,211,212,121,122,221,222
MinGreen,39,6,20,6,6,6,20,6,6
MaxGreen,39,6,20,6,18,6,20,6,18
VehExt,39,3,3,3,3,3,3,3,3
TimeBeforeReduce,39,0,0,0,0,0,0,0,0
TimeToReduce,39,0,0,0,0,0,0,0,0
MinGap,39,3,3,3,3,3,3,3,3
Yellow,39,3,4.3,3,3.6,3,4.3,3,3.6
AllRed,39,3,1,3,2.3,3,1,2.9,1.5
Recall,39,3,3,3,3,3,3,3,3
Walk,39,,7,,7,,7,,7
DontWalk,39,,11,,11,,11,,11
PedCalls,39,,0,,0,,0,,0
MinSplit,39,12,25.3,12,23.9,12,25.3,11.9,23.1
DualEntry,39,0,1,0,1,0,1,0,1
InhibitMax,39,1,1,1,1,1,1,1,1
Start,39,42.5,54.5,6.6,18.6,42.5,54.5,6.6,18.5
End,39,54.5,6.6,18.6,42.5,54.5,6.6,18.5,42.5
Yield,39,48.5,1.3,12.6,36.6,48.5,1.3,12.6,37.4
Yield170,39,48.5,63.5,12.6,25.6,48.5,63.5,12.6,26.4
LocalStart,39,61.2,0,25.3,37.3,61.2,0,25.3,37.2
LocalYield,39,67.2,20,31.3,55.3,67.2,20,31.3,56.1
LocalYield170,39,67.2,9,31.3,44.3,67.2,9,31.3,45.1
ActGreen,39,6,20,6,18,6,20,6,18.9
BRP,75,111,112,211,212,121,122,221,222
MinGreen,75,6,20,6,6,6,20,6,6
MaxGreen,75,6.5,20,6.5,18,6.5,20,6.5,18
VehExt,75,3,3,3,3,3,3,3,3
TimeBeforeReduce,75,0,0,0,0,0,0,0,0
TimeToReduce,75,0,0,0,0,0,0,0,0
MinGap,75,3,3,3,3,3,3,3,3
Yellow,75,3,4.3,3,3,3,4.3,3,3
AllRed,75,1,1,1,2.9,1,1.1,1,2.8
Recall,75,3,3,3,3,3,3,3,3
Walk,75,,7,,7,,7,,7
DontWalk,75,,11,,11,,11,,11
PedCalls,75,,0,,0,,0,,0
MinSplit,75,10.5,25.3,10.5,23.9,10.5,25.4,10.5,23.8
DualEntry,75,0,1,0,1,0,1,0,1
InhibitMax,75,1,1,1,1,1,1,1,1
Start,75,59.8,0,25.4,35.9,59.8,0,25.4,35.9
End,75,0,25.4,35.9,59.8,0,25.4,35.9,59.8
Yield,75,66.3,20.1,31.9,53.9,66.3,20,31.9,54
Yield170,75,66.3,9.1,31.9,42.9,66.3,9,31.9,43
LocalStart,75,59.8,0,25.4,35.9,59.8,0,25.4,35.9
LocalYield,75,66.3,20.1,31.9,53.9,66.3,20,31.9,54
LocalYield170,75,66.3,9.1,31.9,42.9,66.3,9,31.9,43
ActGreen,75,6.5,20.1,6.5,18,6.5,20,6.5,18.1
BRP,78,111,112,211,212,121,122,221,222
MinGreen,78,6,15,,6,,15,,5
MaxGreen,78,6.5,18,,18,,18,,18
VehExt,78,3,3,,3,,3,,3
TimeBeforeReduce,78,0,0,,0,,0,,0
TimeToReduce,78,0,0,,0,,0,,0
MinGap,78,3,3,,3,,3,,3
Yellow,78,3,4.3,,3.6,,4.3,,3.5
AllRed,78,1,1,,1.7,,1,,1
Recall,78,3,3,,3,,3,,3
Walk,78,,7,,7,,7,,7
DontWalk,78,,11,,11,,11,,11
PedCalls,78,,0,,0,,0,,0
MinSplit,78,10.5,23.3,,23.3,,23.3,,22.5
DualEntry,78,0,1,,1,,1,,1
InhibitMax,78,1,1,,1,,1,,1
Start,78,46.6,0,,23.3,,46.6,,23.3
End,78,0,23.3,,46.6,,23.3,,46.6
Yield,78,53.1,18,,41.3,,18,,42.1
Yield170,78,53.1,7,,30.3,,7,,31.1
LocalStart,78,46.6,0,,23.3,,46.6,,23.3
LocalYield,78,53.1,18,,41.3,,18,,42.1
LocalYield170,78,53.1,7,,30.3,,7,,31.1
ActGreen,78,6.5,18,,18,,28.5,,18.8
BRP,80,111,112,211,212,121,122,221,222
MinGreen,80,,5,,,,5,,5
MaxGreen,80,,18,,,,18,,18
VehExt,80,,3,,,,3,,3
TimeBeforeReduce,80,,0,,,,0,,0
TimeToReduce,80,,0,,,,0,,0
MinGap,80,,3,,,,3,,3
Yellow,80,,3.5,,,,3.5,,3.5
AllRed,80,,1,,,,1,,1
Recall,80,,3,,,,3,,3
Walk,80,,7,,,,7,,7
DontWalk,80,,11,,,,11,,11
PedCalls,80,,0,,,,0,,0
MinSplit,80,,22.5,,,,22.5,,22.5
DualEntry,80,,1,,,,1,,1
InhibitMax,80,,1,,,,1,,1
Start,80,,0,,,,0,,22.5
End,80,,22.5,,,,22.5,,0
Yield,80,,18,,,,18,,40.5
Yield170,80,,7,,,,7,,29.5
LocalStart,80,,0,,,,0,,22.5
LocalYield,80,,18,,,,18,,40.5
LocalYield170,80,,7,,,,7,,29.5
ActGreen,80,,18,,,,18,,18
BRP,82,111,112,211,212,121,122,221,222
MinGreen,82,6,20,,6,,20,,
MaxGreen,82,36,20,,6,,20,,
VehExt,82,3,3,,3,,3,,
TimeBeforeReduce,82,0,0,,0,,0,,
TimeToReduce,82,0,0,,0,,0,,
MinGap,82,3,3,,3,,3,,
Yellow,82,3,4.3,,3.6,,4.3,,
AllRed,82,1,1,,1.6,,1,,
Recall,82,3,3,,3,,3,,
Walk,82,,7,,,,7,,
DontWalk,82,,11,,,,11,,
PedCalls,82,,0,,,,0,,
MinSplit,82,40,25.3,,11.2,,25.3,,
DualEntry,82,0,1,,0,,1,,
InhibitMax,82,1,1,,1,,1,,
Start,82,36.5,0,,25.3,,36.5,,
End,82,0,25.3,,36.5,,25.3,,
