RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8
Yield,82,72.5,20,,31.3,,20,,
Yield170,82,72.5,9,,31.3,,9,,
LocalStart,82,36.5,0,,25.3,,36.5,,
LocalYield,82,72.5,20,,31.3,,20,,
LocalYield170,82,72.5,9,,31.3,,9,,
ActGreen,82,36,20,,6,,60,,
BRP,84,111,112,211,212,121,122,221,222
MinGreen,84,6,25,,6,6,25,,6
MaxGreen,84,6.5,25,,18,6.5,25,,18
VehExt,84,3,3,,3,3,3,,3
TimeBeforeReduce,84,0,0,,0,0,0,,0
TimeToReduce,84,0,0,,0,0,0,,0
MinGap,84,3,3,,3,3,3,,3
Yellow,84,3,5,,3.6,3,5,,3.6
AllRed,84,1,1,,2.3,1,1,,2.3
Recall,84,3,3,,3,3,3,,3
Walk,84,,7,,7,,7,,7
DontWalk,84,,11,,11,,11,,11
PedCalls,84,,0,,0,,0,,0
MinSplit,84,10.5,31,,23.9,10.5,31,,23.9
DualEntry,84,0,1,,1,0,1,,1
InhibitMax,84,1,1,,1,1,1,,1
Start,84,54.9,0,,31,54.9,0,,31
End,84,0,31,,54.9,0,31,,54.9
Yield,84,61.4,25,,49,61.4,25,,49
Yield170,84,61.4,14,,38,61.4,14,,38
LocalStart,84,54.9,0,,31,54.9,0,,31
LocalYield,84,61.4,25,,49,61.4,25,,49
LocalYield170,84,61.4,14,,38,61.4,14,,38
ActGreen,84,6.5,25,,18,6.5,25,,18
BRP,87,111,112,211,212,121,122,221,222
MinGreen,87,6,15,6,6,6,15,6,6
MaxGreen,87,6.5,18,6.5,18.3,6.5,18,6.5,18
VehExt,87,3,3,3,3,3,3,3,3
TimeBeforeReduce,87,0,0,0,0,0,0,0,0
TimeToReduce,87,0,0,0,0,0,0,0,0
MinGap,87,3,3,3,3,3,3,3,3
Yellow,87,3,4.7,3,3,3,4.7,3,4.3
AllRed,87,1,1,1,1.2,1,1,1,1.2
Recall,87,3,3,3,3,3,3,3,3
Walk,87,,7,,7,,7,,7
DontWalk,87,,11,,11,,11,,11
PedCalls,87,,0,,0,,0,,0
MinSplit,87,10.5,23.7,10.5,22.5,10.5,23.7,10.5,23.5
DualEntry,87,0,1,0,1,0,1,0,1
InhibitMax,87,1,1,1,1,1,1,1,1
Start,87,57.7,0,23.7,34.2,57.7,0,23.7,34.2
End,87,0,23.7,34.2,57.7,0,23.7,34.2,57.7
Yield,87,64.2,18,30.2,53.5,64.2,18,30.2,52.2
Yield170,87,64.2,7,30.2,42.5,64.2,7,30.2,41.2
LocalStart,87,57.7,0,23.7,34.2,57.7,0,23.7,34.2
LocalYield,87,64.2,18,30.2,53.5,64.2,18,30.2,52.2
LocalYield170,87,64.2,7,30.2,42.5,64.2,7,30.2,41.2
ActGreen,87,6.5,18,6.5,19.3,6.5,18,6.5,18
BRP,98,111,112,211,212,121,122,221,222
MinGreen,98,,20,,6,6,20,,
MaxGreen,98,,20,,18,6.5,20,,
VehExt,98,,3,,3,3,3,,
TimeBeforeReduce,98,,0,,0,0,0,,
TimeToReduce,98,,0,,0,0,0,,
MinGap,98,,3,,3,3,3,,
Yellow,98,,5,,3,3,5,,
AllRed,98,,1.2,,2.8,1,1.2,,
Recall,98,,3,,3,3,3,,
Walk,98,,7,,7,,7,,
DontWalk,98,,11,,11,,11,,
PedCalls,98,,0,,0,,0,,
MinSplit,98,,26.2,,23.8,10.5,26.2,,
DualEntry,98,,1,,1,0,1,,
InhibitMax,98,,1,,1,1,1,,
Start,98,,50,,26.2,50,0,,
End,98,,26.2,,50,0,26.2,,
Yield,98,,20,,44.2,56.5,20,,
Yield170,98,,9,,33.2,56.5,9,,
LocalStart,98,,50,,26.2,50,0,,
LocalYield,98,,20,,44.2,56.5,20,,
LocalYield170,98,,9,,33.2,56.5,9,,
ActGreen,98,,30.5,,18,6.5,20,,
