intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
SR 95 & Camp Mohave South & Camp Mohave South," Bullhead, AZ",39,,0,-114.5979800236402,35.02607000760085
SR 95 & Aztec Rd & Aztec Rd," Bullhead, AZ",75,,1,,
SR 95 & El Rodeo Rd," Bullhead, AZ",78,,2,-114.59796996535638,35.01149999676808
SR 95 & E Hammer Ln," Bullhead, AZ",80,,3,-114.59798999810498,35.00422002049359
SR 95 & Joy Ln," Bullhead, AZ",82,,4,-114.59802000531835,34.99695001868389
SR 95 & E Lipan Blvd & E Lipan Blvd," Bullhead, AZ",84,,5,,
SR 95 & Boundary Cone Rd & Boundary Cone Rd," Bullhead, AZ",87,,6,,
SR 95 & Fairway Vlg Blvd," Bullhead, AZ",98,,7,-114.59798999810498,34.978839994864
