intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
SR 95 & Camp Mohave South," Bullhead City, AZ",39,,0,-114.59798,35.02607001
SR 95 & Aztec Rd," Bullhead City, AZ",75,,1,-114.59799,35.01791002
SR 95 & El Rodeo Rd," Bullhead City, AZ",78,,2,-114.59797,35.0115
SR 95 & E Hammer Ln," Bullhead City, AZ",80,,3,-114.59799,35.00422002
SR 95 & Joy Ln," Bullhead City, AZ",82,,4,-114.59802,34.99695002
SR 95 & E Lipan Blvd," Bullhead City, AZ",84,,5,-114.59801,34.98243998
SR 95 & Boundary Cone Rd," Bullhead City, AZ",87,,6,-114.59796,34.96790999
SR 95 & Fairway Vlg Blvd," Bullhead City, AZ",98,,7,-114.59799,34.97883999
