name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,54284049,,,,,,,-114.6430116,34.8805636,,,
,1,54284054,,,,,,,-114.6429847,34.881881,,,
,2,54284056,,,,,,,-114.6430185,34.8831871,,,
,3,54420345,,,,,,,-114.642656,34.888703,,,
,4,54420346,,,,,,,-114.6455837,34.888687,,,
,5,54454597,,,,,,,-114.6400145,34.8818354,,,
,6,54469363,,,,,,,-114.6454744,34.8899486,,,
,7,54469365,,,,,,,-114.6448518,34.8904822,,,
,8,54469367,,,,,,,-114.6444003,34.8908894,,,
,9,54473848,,,,,,,-114.6455089,34.8896204,,,
,10,54543711,,,,,,,-114.6357059,34.904077,,,
,11,54543720,,,,,,,-114.644509,34.904133,,,
,12,54586922,,,,,,,-114.6357441,34.9120311,,,
,13,9235340539,,,,,,,-114.6357411,34.9136268,,,
,14,9235327316,,,,,,,-114.635775,34.9167609,,,
,15,54586935,,,,,,,-114.635782,34.9225111,,,
,16,,,,,,,,-114.6401114,34.8792,,,boundary node created by osm2gmns
,17,54627067,,,,,,,-114.6400963,34.8805113,,,
,18,54407015,,,,,,,-114.6543293,34.9296251,,,
,19,,,,,,,,-114.6698,34.9369077,,,boundary node created by osm2gmns
,20,,,,,,,,-114.6698,34.9864568,,,boundary node created by osm2gmns
,21,571327062,motorway_junction,,,,,,-114.66326,35.0149992,,,
,22,571327057,,,,,,,-114.6648672,35.0167779,,,
,23,,,,,,,,-114.6698,35.0195913,,,boundary node created by osm2gmns
,24,54860369,,,,,,,-114.644577,34.8805633,,,
,25,54792073,,,,,,,-114.6357265,34.9105877,,,
,26,,,,,,,,-114.6698,34.9530214,,,boundary node created by osm2gmns
,27,6609169934,,,,,,,-114.6600715,34.95298,,,
,28,6609169933,,,,,,,-114.659763,34.9529792,,,
,29,6609169931,,,,,,,-114.658835,34.952977,,,
,30,54913166,,,,,,,-114.653434,34.952964,,,
,31,54151472,,,,,,,-114.633805,34.952934,,,
,32,54407904,,,,,,,-114.6374213,34.8854019,,,
,33,54913195,,,,,,,-114.6454731,34.8854876,,,
,34,9470693312,,,,,,,-114.6194238,35.138225,,,
,35,137144603,,,,,,,-114.6196224,35.1381375,,,
,36,137144784,,,,,,,-114.6296988,35.148992,,,
,37,2683739772,,,,,,,-114.6286881,35.1478532,,,
,38,2683739723,,,,,,,-114.6286009,35.1467802,,,
,39,10707784383,,,,,,,-114.6286107,35.1466931,,,
