intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
SR 95 & Mohave Valley HWY," Bullhead City, AZ",1,,0,-114.5981,35.09111999
Mohave Valley HWY & SR 95 & Long Ave.," Bullhead City, AZ",2,,1,-114.5981,35.09111999
SR 95 & Bullhead Pkwy & Bullhead City," Bullhead City, AZ",3,,2,-114.58915,35.05638002
SR 95 & Mohave Valley HWY & College Way," Bullhead City, AZ",4,,3,-114.5981,35.09111999
SR 95 & Mohave," Bullhead City, AZ",8,,4,-114.59767,35.08420001
SR 95 & Thunderstruck," Bullhead City, AZ",11,,5,-114.59804,35.10557001
Clubhouse & SR 95," Bullhead City, AZ",14,,6,-114.5948,35.11916001
Plata & SR 95," Bullhead City, AZ",15,,7,-114.58923,35.12059001
SR 95 & Silvercreek," Bullhead City, AZ",16,,8,-114.5823,35.12279
SR 95 & Rancho Colorado," Bullhead City, AZ",17,,9,-114.57706,35.12689999
SR 95 & Laughlin Ranch," Bullhead City, AZ",19,,10,-114.57118,35.13593999
SR 95 & Fire Station," Bullhead City, AZ",20,,11,-114.569235,35.1420384
SR 95 & 5th St. Hawk," Bullhead City, AZ",22,,12,-114.56809,35.14952002
SR 95 & Parking lot & Airport Center," Bullhead City, AZ",24,,13,-114.5662864,35.1645184
SR 95 & Aviation Way," Bullhead City, AZ",25,,14,-114.56615,35.16815001
SR 95 & 7th Street," Bullhead City, AZ",33,,15,-114.56747,35.15312
SR 95 & 3rd Street," Bullhead City, AZ",38,,16,-114.56869,35.14588998
SR 95 & Camp Mohave Rd," Bullhead City, AZ",39,,17,-114.59798,35.02607001
SR 95 & Ramar," Bullhead City, AZ",48,,18,-114.59809,35.11522001
SR 95 & Hancock," Bullhead City, AZ",51,,19,-114.59806,35.10738
Mohave Valley HWY/SR 95 & SR 95 & Marina," Bullhead City, AZ",56,,20,-114.5981,35.09111999
SR 95 & Mohave Valley HWY/SR 95 & Riverview," Bullhead City, AZ",60,,21,-114.5981,35.09111999
SR 95 & Aztec Rd," Bullhead City, AZ",75,,22,-114.59799,35.01791002
SR 95 & El Rodeo," Bullhead City, AZ",78,,23,-114.59797,35.0115
SR 95 & E Hammer Ln," Bullhead City, AZ",80,,24,-114.59799,35.00422002
SR 95 & Joy Ln," Bullhead City, AZ",82,,25,-114.59802,34.99695002
SR 95 & E Lipan Blvd," Bullhead City, AZ",84,,26,-114.59801,34.98243998
SR 95 & Boundary Cone Rd," Bullhead City, AZ",87,,27,-114.59796,34.96790999
SR 95 & E Corwin," Bullhead City, AZ",95,,28,-114.59008,35.04465998
SR 95 & Fairway Vlg Blvd," Bullhead City, AZ",98,,29,-114.59799,34.97883999
