mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses,generated_by_osm2gmns
0,1,41520506,,0,1,1,105,1,1,1,,3101265422,left,,,,SBL,"LINESTRING (-111.9442573 33.4295877, -111.9441706 33.4295151)",,,auto,1
1,1,41520506,,0,1,1,235,1,1,1,,41520509,thru,,,,SBT,"LINESTRING (-111.9442573 33.4295877, -111.9442598 33.4294434)",,,auto,1
2,1,41520506,,104,1,1,1,1,1,1,3101265422,,right,,,,WBR,"LINESTRING (-111.9441706 33.4295151, -111.9442573 33.4295877)",,,auto,1
3,1,41520506,,104,1,1,235,1,1,1,3101265422,41520509,left,,,,WBL,"LINESTRING (-111.9441706 33.4295151, -111.9442598 33.4294434)",,,auto,1
4,1,41520506,,236,1,1,1,1,1,1,41520509,,thru,,,,NBT,"LINESTRING (-111.9442598 33.4294434, -111.9442573 33.4295877)",,,auto,1
5,1,41520506,,236,1,1,105,1,1,1,41520509,3101265422,right,,,,NBR,"LINESTRING (-111.9442598 33.4294434, -111.9441706 33.4295151)",,,auto,1
6,2,41529691,,3,1,1,133,1,1,1,41529697,5201685470,left,,,,SBL,"LINESTRING (-111.9304085 33.4231974, -111.9303414 33.4231158)",,,auto,1
7,2,41529691,,3,1,1,137,1,1,1,41529697,330693678,right,,,,SBR,"LINESTRING (-111.9304085 33.4231974, -111.9304890 33.4231763)",,,auto,1
8,2,41529691,,134,1,1,2,1,1,1,5201685470,41529697,right,,,,WBR,"LINESTRING (-111.9303414 33.4231158, -111.9304085 33.4231974)",,,auto,1
9,2,41529691,,134,1,1,137,1,1,1,5201685470,330693678,thru,,,,WBT,"LINESTRING (-111.9303414 33.4231158, -111.9304890 33.4231763)",,,auto,1
10,2,41529691,,551,2,2,2,1,1,1,330693619,41529697,left,,,,EBL,"LINESTRING (-111.9305115 33.4231378, -111.9304085 33.4231974)",,,auto,1
11,2,41529691,,551,2,2,133,1,1,1,330693619,5201685470,thru,,,,EBT,"LINESTRING (-111.9305115 33.4231378, -111.9303414 33.4231158)",,,auto,1
12,2,41529691,,551,1,1,137,1,1,1,330693619,330693678,uturn,,,,EBU,"LINESTRING (-111.9305115 33.4231378, -111.9304890 33.4231763)",,,auto,1
13,3,41529697,,2,1,1,46,1,1,1,41529691,41736777_2714317917,left,,,,NBL,"LINESTRING (-111.9291608 33.4242745, -111.9291068 33.4243674)",,,auto,1
14,3,41529697,,2,1,1,563,1,1,1,41529691,41459438,thru,,,,NBT,"LINESTRING (-111.9291608 33.4242745, -111.9289977 33.4243206)",,,auto,1
15,3,41529697,,2,1,1,667,1,1,1,41529691,8122988905,right,,,,NBR,"LINESTRING (-111.9291608 33.4242745, -111.9290611 33.4242285)",,,auto,1
16,3,41529697,,47,1,1,3,1,1,1,41736777_2714317917,41529691,right,,,,SBR,"LINESTRING (-111.9291068 33.4243674, -111.9291608 33.4242745)",,,auto,1
17,3,41529697,,47,1,1,563,1,1,1,41736777_2714317917,41459438,left,,,,SBL,"LINESTRING (-111.9291068 33.4243674, -111.9289977 33.4243206)",,,auto,1
18,3,41529697,,47,1,1,667,1,1,1,41736777_2714317917,8122988905,left,,,,SBL,"LINESTRING (-111.9291068 33.4243674, -111.9290611 33.4242285)",,,auto,1
