name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,0,,,residential,2,-111.9442627,33.4302,,,boundary node created by osm2gmns
,1,41520506,,,,,tertiary,0,-111.9442567,33.4295155,,,
,2,41529691,traffic_signals,,signal,,tertiary,0,-111.9304264,33.4231268,,,
,3,41529697,,,,,residential,0,-111.9290798,33.4242989,,,
,4,3101265641,,,,,residential,0,-111.9412665,33.4243385,,,
,6,2626664037,,,,,residential,0,-111.9376334,33.4243567,,,
,7,41529813,,,,,residential,0,-111.936666,33.4243591,,,
,8,316007232,traffic_signals,,signal,,tertiary,0,-111.9349809,33.4243346,,,
,9,41533533,,,,,primary,0,-111.9412608,33.4219305,,,
,10,7265020288,,,,,residential,0,-111.94123,33.4205223,,,
,11,,,11,,,residential,2,-111.9424473,33.415,,,boundary node created by osm2gmns
,12,41563458,,,,,residential,0,-111.9424528,33.4161904,,,
,13,41563460,,,,,residential,0,-111.9424525,33.4176183,,,
,14,41563464,,,,,residential,0,-111.9423945,33.4190482,,,
,15,7265020297,,,,,residential,0,-111.9423734,33.4204313,,,
,17,,,17,,,primary,-1,-111.9384473,33.415,,,boundary node created by osm2gmns
,20,41630202,,,,,residential,0,-111.940778,33.4264585,,,
,23,41520528,,,,,residential,0,-111.944246,33.4194019,,,
,24,,,24,,,residential,2,-111.945,33.4194026,,,boundary node created by osm2gmns
,26,41533538,,,,,residential,0,-111.9412375,33.4190521,,,
,27,41520531,,,,,residential,0,-111.9442453,33.4189174,,,
,31,2625359019,,,,,unclassified,0,-111.9395019,33.4273825,,,
,33,41520518,,,,,residential,0,-111.9442993,33.4231771,,,
,34,,,34,,,residential,2,-111.945,33.4231773,,,boundary node created by osm2gmns
,35,337713512,,,,,tertiary,0,-111.9394161,33.4254973,,,
,36,3642940510,,,,,tertiary,0,-111.938161,33.4254954,,,
,37,41746580,,,,,tertiary,0,-111.9366724,33.4254992,,,
,38,5201685464,,,,,tertiary,0,-111.928844,33.4180457,,,
,39,41654675,,,,,tertiary,0,-111.9294043,33.4166443,,,
,41,41573985,,,,,tertiary,0,-111.9262379,33.4209763,,,
,42,,,42,,,tertiary,2,-111.9178,33.4194389,,,boundary node created by osm2gmns
,43,5333539971,,,,,residential,0,-111.936655,33.4174833,,,
,44,5333539972,traffic_signals,,signal,,residential,0,-111.9366276,33.4162059,,,
,45,,,45,,,residential,2,-111.9366102,33.415,,,boundary node created by osm2gmns
,46,41520536,,,,,residential,0,-111.944241,33.4168222,,,
,47,,,47,,,residential,2,-111.945,33.4168248,,,boundary node created by osm2gmns
,48,41995466,,,,,residential,0,-111.9381178,33.419078,,,
,50,41520515,,,,,residential,0,-111.9443033,33.4243197,,,
,51,,,51,,,residential,2,-111.945,33.4243234,,,boundary node created by osm2gmns
,52,3712803330,,,,,residential,0,-111.9381205,33.4205221,,,
,53,41746582,traffic_signals,,signal,,tertiary,0,-111.9349278,33.4254396,,,
,54,42304472,,,,,tertiary,0,-111.9349899,33.4232132,,,
,56,41662598,,,,,residential,0,-111.9399894,33.4162047,,,
,57,41533544,,,,,residential,0,-111.941205,33.416204,,,
,58,41520539,,,,,residential,0,-111.9442403,33.4160678,,,
,59,,,59,,,residential,2,-111.945,33.4160696,,,boundary node created by osm2gmns
,60,1698683701,,,,,residential,0,-111.9370673,33.4162376,,,
,61,41800245,,,,,tertiary,0,-111.9289198,33.4202704,,,
,62,5414658105,,62,,,residential,2,-111.9278714,33.4202692,,,
,63,316872729,,,,,residential,0,-111.9338292,33.4183283,,,
,64,316872730,,,,,residential,0,-111.9338106,33.4174451,,,
,65,41520523,,,,,residential,0,-111.9442498,33.420638,,,
,66,,,66,,,residential,2,-111.945,33.420639,,,boundary node created by osm2gmns
,67,4636339213,,,,,residential,0,-111.9389314,33.4205069,,,
,70,42273739,,,,,residential,0,-111.9381595,33.4231914,,,
,71,41957870,,,,,residential,0,-111.9366746,33.4232058,,,
,72,41520512,,,,,residential,0,-111.9442814,33.4254737,,,
,73,6453652434,,,,,residential,0,-111.9446893,33.4254741,,,
,74,41662596,,,,,residential,0,-111.9400362,33.4176249,,,
,75,41533540,,,,,residential,0,-111.94123,33.4176195,,,
,76,41520533,,,,,residential,0,-111.9442439,33.4177833,,,
,77,,,77,,,residential,2,-111.945,33.4177879,,,boundary node created by osm2gmns
,78,3101265422,,,,,tertiary,0,-111.9434283,33.4295304,,,
,79,,,79,,,secondary,1,-111.9351443,33.4302,,,boundary node created by osm2gmns
,80,2714318030,,,,,secondary,0,-111.9349285,33.4300573,,,
,81,4346614528,,,,,secondary,0,-111.9346717,33.4298726,,,
,82,4346569403,,,,,secondary,0,-111.939969,33.4151097,,,
,83,,,83,,,secondary,-1,-111.9399674,33.415,,,boundary node created by osm2gmns
,84,316128740,,,,,primary,0,-111.926289,33.4298413,,,
,85,,,85,,,primary,2,-111.9262887,33.4302,,,boundary node created by osm2gmns
,86,42351391,turning_circle,86,,,residential,2,-111.9339665,33.4183547,,,
,87,4716137952,,,,,residential,0,-111.9313989,33.4183647,,,
,88,5280009872,crossing;traffic_signals,,signal,,tertiary,0,-111.9288549,33.4184369,,,
,89,330691322,traffic_signals,,signal,,primary,0,-111.9262825,33.4200903,,,
,90,330689192,traffic_signals,,signal,,residential,0,-111.9225348,33.4167548,,,
,91,5201685460,,,,,tertiary,0,-111.921125,33.4154858,,,
,92,,,92,,,tertiary,1,-111.9204042,33.415,,,boundary node created by osm2gmns
,93,330689685,traffic_signals,,signal,,residential,0,-111.9223108,33.4167475,,,
,94,330689687,,,,,tertiary,0,-111.923179,33.417529,,,
,95,41573980,traffic_signals,,signal,,residential,0,-111.9263074,33.4168484,,,
,96,41654678,,,,,residential,0,-111.920587,33.4167118,,,
,97,41654679,,,,,residential,0,-111.9187765,33.4166821,,,
,98,,,98,,,residential,2,-111.9178,33.4166722,,,boundary node created by osm2gmns
,99,5201685470,,,,,tertiary,0,-111.9295097,33.4227418,,,
,100,2941419921,traffic_signals,,signal,,tertiary,0,-111.9338795,33.4250026,,,
,101,330693619,,,,,tertiary,0,-111.9312627,33.4233579,,,
,102,330693678,traffic_signals,,signal,,tertiary,0,-111.9320888,33.4241868,,,
