intersection_name,city_name,synchro_INTID,file_name,intersection_id,reversed_intersection_name,full_name_intersection,full_name_intersection_reversed,distance_from_full_name,coord_x,coord_y
Priest Drive & University Drive," Tempe, AZ",36,,30, University Drive & Priest Drive,"Priest Drive & University Drive,  Tempe, AZ"," University Drive & Priest Drive,  Tempe, AZ",0.0,-111.96091996131507,33.421939994870655
Perry Lane & Rio Salado Parkway," Tempe, AZ",37,,31, Rio Salado Parkway & Perry Lane,"Perry Lane & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Perry Lane,  Tempe, AZ",0.0,-111.90477001103795,33.42919000584129
Hardy & University Drive," Tempe, AZ",38,,32, University Drive & Hardy,"Hardy & University Drive,  Tempe, AZ"," University Drive & Hardy,  Tempe, AZ",0.0,-111.95219004151978,33.42190001319251
Roosevelt & University Drive," Tempe, AZ",39,,33, University Drive & Roosevelt,"Roosevelt & University Drive,  Tempe, AZ"," University Drive & Roosevelt,  Tempe, AZ",0.0,-111.94725997371006,33.42188999681821
Farmer & University Drive," Tempe, AZ",40,,34, University Drive & Farmer,"Farmer & University Drive,  Tempe, AZ"," University Drive & Farmer,  Tempe, AZ",0.0,-111.94423997399595,33.42188999681821
Ash Street & University Drive," Tempe, AZ",41,,35, University Drive & Ash Street,"Ash Street & University Drive,  Tempe, AZ"," University Drive & Ash Street,  Tempe, AZ",0.0,-111.94236997139751,33.42192000403158
McClintock Drive & Tempe Marketplace," Tempe, AZ",42,,36, Tempe Marketplace & McClintock Drive,"McClintock Drive & Tempe Marketplace,  Tempe, AZ"," Tempe Marketplace & McClintock Drive,  Tempe, AZ",0.0,-111.90929003614434,33.43208000223714
Mill Avenue & University Drive," Tempe, AZ",43,,37, University Drive & Mill Avenue,"Mill Avenue & University Drive,  Tempe, AZ"," University Drive & Mill Avenue,  Tempe, AZ",0.0,-111.94000996273942,33.42192000403158
Myrtle Avenue & University Drive," Tempe, AZ",44,,38, University Drive & Myrtle Avenue,"Myrtle Avenue & University Drive,  Tempe, AZ"," University Drive & Myrtle Avenue,  Tempe, AZ",0.0,-111.93813996014099,33.421950011244945
Forest & University Drive," Tempe, AZ",45,,39, University Drive & Forest,"Forest & University Drive,  Tempe, AZ"," University Drive & Forest,  Tempe, AZ",0.0,-111.93662996028392,33.421950011244945
College Avenue & University Drive," Tempe, AZ",46,,40, University Drive & College Avenue,"College Avenue & University Drive,  Tempe, AZ"," University Drive & College Avenue,  Tempe, AZ",0.0,-111.93500001539243,33.421950011244945
Van Ness & University Drive," Tempe, AZ",47,,41, University Drive & Van Ness,"Van Ness & University Drive,  Tempe, AZ"," University Drive & Van Ness,  Tempe, AZ",0.0,-111.95901979282841,33.42193002040588
Packard Dr & 6th Street," Tempe, AZ",48,,42, 6th Street & Packard Dr,"Packard Dr & 6th Street,  Tempe, AZ"," 6th Street & Packard Dr,  Tempe, AZ",0.0,-111.92906001206909,33.42430000352873
Rural Road & University Drive," Tempe, AZ",49,,43, University Drive & Rural Road,"Rural Road & University Drive,  Tempe, AZ"," University Drive & Rural Road,  Tempe, AZ",12030.571517147764,,
Dorsey Lane & University Drive," Tempe, AZ",50,,44, University Drive & Dorsey Lane,"Dorsey Lane & University Drive,  Tempe, AZ"," University Drive & Dorsey Lane,  Tempe, AZ",0.0,-111.91764997873346,33.422009983762166
McClintock Drive & University Drive," Tempe, AZ",51,,45, University Drive & McClintock Drive,"McClintock Drive & University Drive,  Tempe, AZ"," University Drive & McClintock Drive,  Tempe, AZ",0.0,-111.90910001839934,33.4219899929231
Normal Ave & Apache Boulevard," Tempe, AZ",52,,46, Apache Boulevard & Normal Ave,"Normal Ave & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Normal Ave,  Tempe, AZ",0.0,-111.93276003558783,33.41466001859618
Smith Rd & University Drive," Tempe, AZ",53,,47, University Drive & Smith Rd,"Smith Rd & University Drive,  Tempe, AZ"," University Drive & Smith Rd,  Tempe, AZ",0.0,-111.90050001810329,33.42210000540227
Paseo Del Saber & Apache Boulevard," Tempe, AZ",54,,48, Apache Boulevard & Paseo Del Saber,"Paseo Del Saber & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Paseo Del Saber,  Tempe, AZ",0.0,-111.5720699781422,33.415079993854775
Price Freeway SB & University Drive," Tempe, AZ",55,,49, University Drive & Price Freeway SB,"Price Freeway SB & University Drive,  Tempe, AZ"," University Drive & Price Freeway SB,  Tempe, AZ",0.0,-111.89107004175479,33.42190998765729
Hayden Ferry & Rio Salado Parkway," Tempe, AZ",56,,50, Rio Salado Parkway & Hayden Ferry,"Hayden Ferry & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Hayden Ferry,  Tempe, AZ",3.2293848732372603,,
Evergreen Road & University Drive," Tempe, AZ",57,,51, University Drive & Evergreen Road,"Evergreen Road & University Drive,  Tempe, AZ"," University Drive & Evergreen Road,  Tempe, AZ",0.0,-111.8829799964479,33.42213001261564
MH West & Rio Salado Parkway," Tempe, AZ",58,,52, Rio Salado Parkway & MH West,"MH West & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & MH West,  Tempe, AZ",0.0,-111.8918424472223,33.42936919221862
MH East & Rio Salado Parkway," Tempe, AZ",59,,53, Rio Salado Parkway & MH East,"MH East & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & MH East,  Tempe, AZ",12027.271403526827,,
Mill Avenue & 10th Street," Tempe, AZ",60,,54, 10th Street & Mill Avenue,"Mill Avenue & 10th Street,  Tempe, AZ"," 10th Street & Mill Avenue,  Tempe, AZ",0.0,-111.93999998827465,33.41904999847479
Smith Rd & Rio Salado Parkway," Tempe, AZ",61,,55, Rio Salado Parkway & Smith Rd,"Smith Rd & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Smith Rd,  Tempe, AZ",0.0,-111.90044997814132,33.429229987519435
McAllister Avenue & Terrace Road," Tempe, AZ",62,,56, Terrace Road & McAllister Avenue,"McAllister Avenue & Terrace Road,  Tempe, AZ"," Terrace Road & McAllister Avenue,  Tempe, AZ",0.0,-111.92883001264596,33.41842998909691
Rural Road & Terrace Road," Tempe, AZ",63,,57, Terrace Road & Rural Road,"Rural Road & Terrace Road,  Tempe, AZ"," Terrace Road & Rural Road,  Tempe, AZ",0.0,-111.92628996070768,33.420230002803834
Rural Road & Lemon Street," Tempe, AZ",64,,58, Lemon Street & Rural Road,"Rural Road & Lemon Street,  Tempe, AZ"," Lemon Street & Rural Road,  Tempe, AZ",0.0,-111.92628996070768,33.416819993134965
Ped Crossing & McAllister Avenue," Tempe, AZ",65,,59, McAllister Avenue & Ped Crossing,"Ped Crossing & McAllister Avenue,  Tempe, AZ"," McAllister Avenue & Ped Crossing,  Tempe, AZ",0.0,-111.9320965996191,33.34374878758978
McClintock Drive & Don Carlos Rd," Tempe, AZ",66,,60, Don Carlos Rd & McClintock Drive,"McClintock Drive & Don Carlos Rd,  Tempe, AZ"," Don Carlos Rd & McClintock Drive,  Tempe, AZ",12029.122910736907,,
52nd Street & 14th Street," Tempe, AZ",67,,61, 14th Street & 52nd Street,"52nd Street & 14th Street,  Tempe, AZ"," 14th Street & 52nd Street,  Tempe, AZ",0.0,-111.96950998714637,33.413569993997726
Priest Drive & 14th Street," Tempe, AZ",68,,62, 14th Street & Priest Drive,"Priest Drive & 14th Street,  Tempe, AZ"," 14th Street & Priest Drive,  Tempe, AZ",0.0,-111.96080999074542,33.41315001873912
Priest Drive & 13th Street," Tempe, AZ",69,,63, 13th Street & Priest Drive,"Priest Drive & 13th Street,  Tempe, AZ"," 13th Street & Priest Drive,  Tempe, AZ",0.0,-111.960830023494,33.414680009435244
Hardy & 13th Street," Tempe, AZ",70,,64, 13th Street & Hardy,"Hardy & 13th Street,  Tempe, AZ"," 13th Street & Hardy,  Tempe, AZ",0.0,-111.9521700087712,33.414650002221876
Apache Boulevard & Mill Avenue," Tempe, AZ",72,,65, Mill Avenue & Apache Boulevard,"Apache Boulevard & Mill Avenue,  Tempe, AZ"," Mill Avenue & Apache Boulevard,  Tempe, AZ",0.0,-111.93996998106128,33.417060008932395
Forest & Apache Boulevard," Tempe, AZ",73,,66, Apache Boulevard & Forest,"Forest & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Forest,  Tempe, AZ",0.0,-111.936580004141,33.414739981952465
College Avenue & Apache Boulevard," Tempe, AZ",74,,67, Apache Boulevard & College Avenue,"College Avenue & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & College Avenue,  Tempe, AZ",0.0,-111.9349400009657,33.414650002221876
McAllister Avenue & Apache Boulevard," Tempe, AZ",75,,68, Apache Boulevard & McAllister Avenue,"McAllister Avenue & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & McAllister Avenue,  Tempe, AZ",12031.140468669859,,
Rural Road & Apache Boulevard," Tempe, AZ",76,,69, Apache Boulevard & Rural Road,"Rural Road & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Rural Road,  Tempe, AZ",0.0,-111.92630999345626,33.41470000027432
52nd Street & Broadway Road," Tempe, AZ",80,,70, Broadway Road & 52nd Street,"52nd Street & Broadway Road,  Tempe, AZ"," Broadway Road & 52nd Street,  Tempe, AZ",0.0,-111.96582999637621,33.4075299945695
Rural Road & Spence Ave," Tempe, AZ",82,,71, Spence Ave & Rural Road,"Rural Road & Spence Ave,  Tempe, AZ"," Spence Ave & Rural Road,  Tempe, AZ",0.0,-111.92627998624289,33.412860004889254
48th Street & Broadway Road," Tempe, AZ",83,,72, Broadway Road & 48th Street,"48th Street & Broadway Road,  Tempe, AZ"," Broadway Road & 48th Street,  Tempe, AZ",12035.636958674793,,
48th Street & Broadway Frontage," Tempe, AZ",84,,73, Broadway Frontage & 48th Street,"48th Street & Broadway Frontage,  Tempe, AZ"," Broadway Frontage & 48th Street,  Tempe, AZ",0.0,-111.97827997243883,33.40731998598544
Old 52nd & Broadway Road," Tempe, AZ",85,,74, Broadway Road & Old 52nd,"Old 52nd & Broadway Road,  Tempe, AZ"," Broadway Road & Old 52nd,  Tempe, AZ",0.0,-111.96582999637621,33.4075299945695
Priest Drive & Broadway Road," Tempe, AZ",86,,75, Broadway Road & Priest Drive,"Priest Drive & Broadway Road,  Tempe, AZ"," Broadway Road & Priest Drive,  Tempe, AZ",0.0,-111.96077000906728,33.40742999846462
Industrial Park Avenue & Beck Avenue & Broadway Road," Tempe, AZ",87,,76, Beck Avenue  & Industrial Park Avenue,"Industrial Park Avenue & Beck Avenue & Broadway Road,  Tempe, AZ"," Beck Avenue  & Industrial Park Avenue,  Tempe, AZ",0.0,-111.95523996462823,33.40739999125125
Hardy & Broadway Road," Tempe, AZ",88,,77, Broadway Road & Hardy,"Hardy & Broadway Road,  Tempe, AZ"," Broadway Road & Hardy,  Tempe, AZ",0.0,-111.95216003430642,33.407390016786465
Roosevelt Street & Broadway Road," Tempe, AZ",89,,78, Broadway Road & Roosevelt Street,"Roosevelt Street & Broadway Road,  Tempe, AZ"," Broadway Road & Roosevelt Street,  Tempe, AZ",0.0,-111.94780999419643,33.407380000412175
Broadway Road & Broadway Frontage," Tempe, AZ",90,,79, Broadway Frontage & Broadway Road,"Broadway Road & Broadway Frontage,  Tempe, AZ"," Broadway Frontage & Broadway Road,  Tempe, AZ",0.0,0.0,0.0
Mill Avenue & Broadway Road," Tempe, AZ",91,,80, Broadway Road & Mill Avenue,"Mill Avenue & Broadway Road,  Tempe, AZ"," Broadway Road & Mill Avenue,  Tempe, AZ",0.0,-111.93985003602684,33.40741000762554
College Avenue & Broadway Road," Tempe, AZ",92,,81, Broadway Road & College Avenue,"College Avenue & Broadway Road,  Tempe, AZ"," Broadway Road & College Avenue,  Tempe, AZ",12031.703295110414,,
Rural Road & Vista Del Corro," Tempe, AZ",93,,82, Vista Del Corro & Rural Road,"Rural Road & Vista Del Corro,  Tempe, AZ"," Vista Del Corro & Rural Road,  Tempe, AZ",0.0,-111.92627998624289,33.410130019025004
Rural Road & Broadway Road," Tempe, AZ",94,,83, Broadway Road & Rural Road,"Rural Road & Broadway Road,  Tempe, AZ"," Broadway Road & Rural Road,  Tempe, AZ",0.0,-111.92627998624289,33.40744001483891
Terrace Road & Broadway Road," Tempe, AZ",96,,84, Broadway Road & Terrace Road,"Terrace Road & Broadway Road,  Tempe, AZ"," Broadway Road & Terrace Road,  Tempe, AZ",0.0,-111.92257996272416,33.407449989303686
Dorsey Lane & Broadway Road," Tempe, AZ",97,,85, Broadway Road & Dorsey Lane,"Dorsey Lane & Broadway Road,  Tempe, AZ"," Broadway Road & Dorsey Lane,  Tempe, AZ",0.0,-111.91767998594683,33.40744001483891
McClintock Drive & Broadway Road," Tempe, AZ",99,,86, Broadway Road & McClintock Drive,"McClintock Drive & Broadway Road,  Tempe, AZ"," Broadway Road & McClintock Drive,  Tempe, AZ",0.0,-111.90907998565076,33.40742999846462
College & Continental," Tempe, AZ",101,,87, Continental & College,"College & Continental,  Tempe, AZ"," Continental & College,  Tempe, AZ",0.0,-111.9350099898572,33.45835001834591
River Drive & Broadway Road," Tempe, AZ",102,,88, Broadway Road & River Drive,"River Drive & Broadway Road,  Tempe, AZ"," Broadway Road & River Drive,  Tempe, AZ",0.0,-111.89771999227708,33.40742999846462
Price Freeway SB & Broadway Road," Tempe, AZ",103,,89, Broadway Road & Price Freeway SB,"Price Freeway SB & Broadway Road,  Tempe, AZ"," Broadway Road & Price Freeway SB,  Tempe, AZ",12027.729446222827,,
Priest Drive & Fountainhead Pkwy," Tempe, AZ",104,,90, Fountainhead Pkwy & Priest Drive,"Priest Drive & Fountainhead Pkwy,  Tempe, AZ"," Fountainhead Pkwy & Priest Drive,  Tempe, AZ",0.0,-111.96081996521019,33.40368999326773
Priest Drive & Fairmont Dr," Tempe, AZ",105,,91, Fairmont Dr & Priest Drive,"Priest Drive & Fairmont Dr,  Tempe, AZ"," Fairmont Dr & Priest Drive,  Tempe, AZ",0.0,-111.96077000906728,33.39646998951048
Rural Road & Broadmor Drive," Tempe, AZ",106,,92, Broadmor Drive & Rural Road,"Rural Road & Broadmor Drive,  Tempe, AZ"," Broadmor Drive & Rural Road,  Tempe, AZ",0.0,-111.92630001899148,33.40352998273612
48th Street & Cotton Center Blvd," Tempe, AZ",107,,93, Cotton Center Blvd & 48th Street,"48th Street & Cotton Center Blvd,  Tempe, AZ"," Cotton Center Blvd & 48th Street,  Tempe, AZ",0.0,-111.97830000518742,33.40352998273612
48th Street & Alameda Dr," Tempe, AZ",108,,94, Alameda Dr & 48th Street,"48th Street & Alameda Dr,  Tempe, AZ"," Alameda Dr & 48th Street,  Tempe, AZ",0.0,-111.9783099796522,33.40004998417574
Priest Drive & Alameda Dr," Tempe, AZ",109,,95, Alameda Dr & Priest Drive,"Priest Drive & Alameda Dr,  Tempe, AZ"," Alameda Dr & Priest Drive,  Tempe, AZ",0.0,-111.96076003460249,33.40014000581584
Hardy & Alameda Dr," Tempe, AZ",110,,96, Alameda Dr & Hardy,"Hardy & Alameda Dr,  Tempe, AZ"," Alameda Dr & Hardy,  Tempe, AZ",0.0,-111.95210999434447,33.400109998602474
Mill Avenue & Alameda Dr," Tempe, AZ",111,,97, Alameda Dr & Mill Avenue,"Mill Avenue & Alameda Dr,  Tempe, AZ"," Alameda Dr & Mill Avenue,  Tempe, AZ",12032.313482456388,,
College Avenue & Alameda Dr," Tempe, AZ",112,,98, Alameda Dr & College Avenue,"College Avenue & Alameda Dr,  Tempe, AZ"," Alameda Dr & College Avenue,  Tempe, AZ",12031.876208164196,,
Rural Road & Alameda Dr," Tempe, AZ",113,,99, Alameda Dr & Rural Road,"Rural Road & Alameda Dr,  Tempe, AZ"," Alameda Dr & Rural Road,  Tempe, AZ",0.0,-111.92630001899148,33.40024000192072
McClintock Drive & Alameda Drive," Tempe, AZ",114,,100, Alameda Drive & McClintock Drive,"McClintock Drive & Alameda Drive,  Tempe, AZ"," Alameda Drive & McClintock Drive,  Tempe, AZ",0.0,-111.9091199673289,33.40014000581584
McClintock Drive & Campus Drive," Tempe, AZ",115,,101, Campus Drive & McClintock Drive,"McClintock Drive & Campus Drive,  Tempe, AZ"," Campus Drive & McClintock Drive,  Tempe, AZ",0.0,-111.90913002561271,33.398380015696574
McClintock Drive & Del Rio Drive," Tempe, AZ",116,,102, Del Rio Drive & McClintock Drive,"McClintock Drive & Del Rio Drive,  Tempe, AZ"," Del Rio Drive & McClintock Drive,  Tempe, AZ",0.0,-111.9091199673289,33.39656998561536
Mill Avenue & Broadmor Dr," Tempe, AZ",117,,103, Broadmor Dr & Mill Avenue,"Mill Avenue & Broadmor Dr,  Tempe, AZ"," Broadmor Dr & Mill Avenue,  Tempe, AZ",0.0,-111.93973998163814,33.40258001973973
48th Street & Southern Ave," Tempe, AZ",118,,104, Southern Ave & 48th Street,"48th Street & Southern Ave,  Tempe, AZ"," Southern Ave & 48th Street,  Tempe, AZ",0.0,-111.97836001961416,33.39277000790125
Potter & Southern Ave," Tempe, AZ",119,,105, Southern Ave & Potter,"Potter & Southern Ave,  Tempe, AZ"," Southern Ave & Potter,  Tempe, AZ",12035.444186723264,,
Priest Drive & Southern Ave," Tempe, AZ",120,,106, Southern Ave & Priest Drive,"Priest Drive & Southern Ave,  Tempe, AZ"," Southern Ave & Priest Drive,  Tempe, AZ",12034.399234834056,,
Hardy & Southern Ave," Tempe, AZ",121,,107, Southern Ave & Hardy,"Hardy & Southern Ave,  Tempe, AZ"," Southern Ave & Hardy,  Tempe, AZ",0.0,-111.95195995827763,33.39285998763184
Roosevelt Street & Southern Ave," Tempe, AZ",122,,108, Southern Ave & Roosevelt Street,"Roosevelt Street & Southern Ave,  Tempe, AZ"," Southern Ave & Roosevelt Street,  Tempe, AZ",0.0,-111.94778996144784,33.39283999679277
Kyrene Rd. & Southern Ave," Tempe, AZ",123,,109, Southern Ave & Kyrene Rd.,"Kyrene Rd. & Southern Ave,  Tempe, AZ"," Southern Ave & Kyrene Rd.,  Tempe, AZ",0.0,-111.94367000458001,33.39283999679277
Mill Avenue & Southern Ave," Tempe, AZ",124,,110, Southern Ave & Mill Avenue,"Mill Avenue & Southern Ave,  Tempe, AZ"," Southern Ave & Mill Avenue,  Tempe, AZ",0.0,-111.93960000385512,33.39285998763184
College Avenue & Southern Ave," Tempe, AZ",125,,111, Southern Ave & College Avenue,"College Avenue & Southern Ave,  Tempe, AZ"," Southern Ave & College Avenue,  Tempe, AZ",0.0,-111.93490001928755,33.39290001121951
Butte Ave & Southern Ave," Tempe, AZ",126,,112, Southern Ave & Butte Ave,"Butte Ave & Southern Ave,  Tempe, AZ"," Southern Ave & Butte Ave,  Tempe, AZ",0.0,-111.91136003095254,33.392989990950085
Rural Road & Southern Ave," Tempe, AZ",127,,113, Southern Ave & Rural Road,"Rural Road & Southern Ave,  Tempe, AZ"," Southern Ave & Rural Road,  Tempe, AZ",0.0,-111.92634000066963,33.39295998373673
Terrace Rd & Southern Ave," Tempe, AZ",128,,114, Southern Ave & Terrace Rd,"Terrace Rd & Southern Ave,  Tempe, AZ"," Southern Ave & Terrace Rd,  Tempe, AZ",0.0,-111.92299000542751,33.39295998373673
Dorsey Ave & Southern Ave," Tempe, AZ",129,,115, Southern Ave & Dorsey Ave,"Dorsey Ave & Southern Ave,  Tempe, AZ"," Southern Ave & Dorsey Ave,  Tempe, AZ",12030.493163208595,,
McClintock Drive & Southern Ave," Tempe, AZ",130,,116, Southern Ave & McClintock Drive,"McClintock Drive & Southern Ave,  Tempe, AZ"," Southern Ave & McClintock Drive,  Tempe, AZ",0.0,-111.90913002561271,33.39297000011102
Los Feliz Drive & Southern Ave," Tempe, AZ",131,,117, Southern Ave & Los Feliz Drive,"Los Feliz Drive & Southern Ave,  Tempe, AZ"," Southern Ave & Los Feliz Drive,  Tempe, AZ",0.0,-111.90483999992946,33.39298001648531
Country Club Way & Southern Ave," Tempe, AZ",132,,118, Southern Ave & Country Club Way,"Country Club Way & Southern Ave,  Tempe, AZ"," Southern Ave & Country Club Way,  Tempe, AZ",0.0,-111.9005499742462,33.39300000732439
13th Street & Apache Boulevard," Tempe, AZ",134,,119, Apache Boulevard & 13th Street,"13th Street & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & 13th Street,  Tempe, AZ",0.0,-111.93828002174305,33.41494001607175
Price Freeway SB & Southern Ave," Tempe, AZ",135,,120, Southern Ave & Price Freeway SB,"Price Freeway SB & Southern Ave,  Tempe, AZ"," Southern Ave & Price Freeway SB,  Tempe, AZ",0.0,-111.89101002732806,33.392820005953695
Evergreen & Southern Ave," Tempe, AZ",138,,121, Southern Ave & Evergreen,"Evergreen & Southern Ave,  Tempe, AZ"," Southern Ave & Evergreen,  Tempe, AZ",12027.367797344707,,
