intersection_name,city_name,synchro_INTID,file_name,intersection_id,reversed_intersection_name,full_name_intersection,full_name_intersection_reversed,distance_from_full_name,coord_x,coord_y
College & McKellips," Tempe, AZ",2,,0, McKellips & College,"College & McKellips,  Tempe, AZ"," McKellips & College,  Tempe, AZ",0.0,-111.93520998206698,33.45110998184006
Scottsdale Road & McKellips," Tempe, AZ",3,,1, McKellips & Scottsdale Road,"Scottsdale Road & McKellips,  Tempe, AZ"," McKellips & Scottsdale Road,  Tempe, AZ",0.0,-111.9264600295231,33.45123998515831
Priest Drive & Center Pkwy," Tempe, AZ",5,,2, Center Pkwy & Priest Drive,"Priest Drive & Center Pkwy,  Tempe, AZ"," Center Pkwy & Priest Drive,  Tempe, AZ",0.0,-111.95499001627554,33.44458001826172
Priest Drive & 202 EB," Tempe, AZ",6,,3, 202 EB & Priest Drive,"Priest Drive & 202 EB,  Tempe, AZ"," 202 EB & Priest Drive,  Tempe, AZ",0.0,-111.96302683398818,33.32039738504338
Scottsdale Road & Weber Drive," Tempe, AZ",7,,4, Weber Drive & Scottsdale Road,"Scottsdale Road & Weber Drive,  Tempe, AZ"," Weber Drive & Scottsdale Road,  Tempe, AZ",0.0,-111.92643002230973,33.4439900160972
Mill Avenue & Washington St & Curry Rd," Tempe, AZ",8,,5, Washington St  & Mill Avenue,"Mill Avenue & Washington St & Curry Rd,  Tempe, AZ"," Washington St  & Mill Avenue,  Tempe, AZ",0.0,-111.94347998683503,33.43764998644481
College & Curry Rd," Tempe, AZ",9,,6, Curry Rd & College,"College & Curry Rd,  Tempe, AZ"," Curry Rd & College,  Tempe, AZ",0.0,-111.93081996027884,33.440220003686946
Scottsdale Road & Curry Rd," Tempe, AZ",10,,7, Curry Rd & Scottsdale Road,"Scottsdale Road & Curry Rd,  Tempe, AZ"," Curry Rd & Scottsdale Road,  Tempe, AZ",0.0,-111.92634000066963,33.44061998810648
Miller & Curry Rd," Tempe, AZ",11,,8, Curry Rd & Miller,"Miller & Curry Rd,  Tempe, AZ"," Curry Rd & Miller,  Tempe, AZ",12029.373027085405,,
McClintock Drive & Curry Rd," Tempe, AZ",12,,9, Curry Rd & McClintock Drive,"McClintock Drive & Curry Rd,  Tempe, AZ"," Curry Rd & McClintock Drive,  Tempe, AZ",0.0,-111.9095499589618,33.44038998868335
Priest Drive & Rio Salado Parkway," Tempe, AZ",13,,10, Rio Salado Parkway & Priest Drive,"Priest Drive & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Priest Drive,  Tempe, AZ",0.0,-111.96097000127703,33.42961999747419
Hardy & Rio Salado Parkway," Tempe, AZ",14,,11, Rio Salado Parkway & Hardy,"Hardy & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Hardy,  Tempe, AZ",0.0,-111.95240000819433,33.43099999401299
Ash Street & Rio Salado Parkway," Tempe, AZ",16,,12, Rio Salado Parkway & Ash Street,"Ash Street & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Ash Street,  Tempe, AZ",0.0,-111.94257997998156,33.429239982938974
Scottsdale Road & 202," Tempe, AZ",17,,13, 202 & Scottsdale Road,"Scottsdale Road & 202,  Tempe, AZ"," 202 & Scottsdale Road,  Tempe, AZ",0.9428270606938464,,
Rural Road & Scottsdale Road & Rio Salado Parkway," Tempe, AZ",18,,14, Scottsdale Road  & Rural Road,"Rural Road & Scottsdale Road & Rio Salado Parkway,  Tempe, AZ"," Scottsdale Road  & Rural Road,  Tempe, AZ",0.016540796154844436,,
McClintock Drive & 202," Tempe, AZ",19,,15, 202 & McClintock Drive,"McClintock Drive & 202,  Tempe, AZ"," 202 & McClintock Drive,  Tempe, AZ",10.012901224670891,,
McClintock Drive & Rio Salado Parkway," Tempe, AZ",20,,16, Rio Salado Parkway & McClintock Drive,"McClintock Drive & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & McClintock Drive,  Tempe, AZ",0.0,-111.90907998565076,33.42932000915954
Packard Dr & Rio Salado Parkway," Tempe, AZ",21,,17, Rio Salado Parkway & Packard Dr,"Packard Dr & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Packard Dr,  Tempe, AZ",0.0,-111.92929001149223,33.42866999256829
Price Freeway SB & Rio Salado Parkway," Tempe, AZ",22,,18, Rio Salado Parkway & Price Freeway SB,"Price Freeway SB & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Price Freeway SB,  Tempe, AZ",0.1460137103472524,,
Ash Street & 5th Street," Tempe, AZ",23,,19, 5th Street & Ash Street,"Ash Street & 5th Street,  Tempe, AZ"," 5th Street & Ash Street,  Tempe, AZ",0.0,-111.943340009052,33.425489982322546
Priest Drive & 5th Street," Tempe, AZ",24,,20, 5th Street & Priest Drive,"Priest Drive & 5th Street,  Tempe, AZ"," 5th Street & Priest Drive,  Tempe, AZ",0.0,-111.96097997574181,33.42561001117602
Beck & University Drive," Tempe, AZ",25,,21, University Drive & Beck,"Beck & University Drive,  Tempe, AZ"," University Drive & Beck,  Tempe, AZ",0.0,-111.95647000891924,33.42192000403158
Mill Avenue & 5th Street," Tempe, AZ",27,,22, 5th Street & Mill Avenue,"Mill Avenue & 5th Street,  Tempe, AZ"," 5th Street & Mill Avenue,  Tempe, AZ",0.0,-111.94008003544998,33.42549999869685
Mill Avenue & 4th Street," Tempe, AZ",28,,23, 4th Street & Mill Avenue,"Mill Avenue & 4th Street,  Tempe, AZ"," 4th Street & Mill Avenue,  Tempe, AZ",0.0,-111.75210998940845,33.42108998606963
Mill Avenue & Rio Salado Parkway," Tempe, AZ",29,,24, Rio Salado Parkway & Mill Avenue,"Mill Avenue & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Mill Avenue,  Tempe, AZ",0.0,-111.93996998106128,33.429580015796034
Mill Avenue & 6th Street," Tempe, AZ",30,,25, 6th Street & Mill Avenue,"Mill Avenue & 6th Street,  Tempe, AZ"," 6th Street & Mill Avenue,  Tempe, AZ",0.0,-111.93996998106128,33.424360017955465
Mill Avenue & 7th Street," Tempe, AZ",31,,26, 7th Street & Mill Avenue,"Mill Avenue & 7th Street,  Tempe, AZ"," 7th Street & Mill Avenue,  Tempe, AZ",0.0,-111.94006997716616,33.42316999725213
Rural Road & 6th Street," Tempe, AZ",33,,27, 6th Street & Rural Road,"Rural Road & 6th Street,  Tempe, AZ"," 6th Street & Rural Road,  Tempe, AZ",0.0,-111.926370007883,33.42451001211279
Lindon & University Drive," Tempe, AZ",34,,28, University Drive & Lindon,"Lindon & University Drive,  Tempe, AZ"," University Drive & Lindon,  Tempe, AZ",0.0,-111.96520998699833,33.421939994870655
52nd Street & University Drive," Tempe, AZ",35,,29, University Drive & 52nd Street,"52nd Street & University Drive,  Tempe, AZ"," University Drive & 52nd Street,  Tempe, AZ",0.0,-111.9695700015731,33.421939994870655
