full_name,city_name,synchro_INTID,file_name,intersection_id,x_coord,y_coord
Silvercreek & SR 95,,16,,0,-93.97672176065933,45.28918473659074
Rancho Colorado & SR 95,,17,,1,-107.51350999999994,28.606170000000077
SR 95 & 5th St. Hawk,,22,,2,-74.07974024371326,40.877927461362475
Parking lot & Airport Center,,24,,3,19.241280000000074,47.42085000000003
SR 95 & 7th Street,,33,,4,20.806740000000048,52.16396000000003
