intersection_name,city_name,synchro_INTID,file_name,intersection_id
SR 95 & Silvercreek," Bullhead,  AZ",16,,0
SR 95 & Rancho Colorado," Bullhead,  AZ",17,,1
SR 95 & 5th St. Hawk," Bullhead,  AZ",22,,2
Parking lot & Airport Center," Bullhead,  AZ",24,,3
SR 95 & 7th Street," Bullhead,  AZ",33,,4
