name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,41190566,,,,,,,-111.9765412,33.387129,,,
,1,41190568,,,,,,,-111.9765756,33.3887988,,,
,2,41190571,,,,,,,-111.9765326,33.3906908,,,
,3,41190577,,,,,,,-111.9557238,33.3258985,,,
,4,41190578,,,,,,,-111.9558869,33.3251814,,,
,5,41190580,,,,,,,-111.9560414,33.3244283,,,
,6,41190588,turning_circle,,,,,,-111.9567967,33.3229151,,,
,7,41190591,turning_circle,,,,,,-111.9568139,33.323704,,,
,8,41190597,,,,,,,-111.9556206,33.3928475,,,
,9,41190600,,,,,,,-111.9556206,33.3923387,,,
,10,41190606,,,,,,,-111.9551399,33.3897087,,,
,11,41190607,,,,,,,-111.9551914,33.3904182,,,
,12,41190610,,,,,,,-111.9551828,33.3911491,,,
,13,41190613,turning_circle,,,,,,-111.9551571,33.3923244,,,
,14,41190619,turning_circle,,,,,,-111.9552746,33.3873886,,,
,15,41190622,,,,,,,-111.9552086,33.3865984,,,
,16,41190628,,,,,,,-111.9569264,33.3714005,,,
,17,41190631,,,,,,,-111.9564543,33.3720528,,,
,18,41190644,,,,,,,-111.9558304,33.3726506,,,
,19,41190651,,,,,,,-111.9581995,33.3707565,,,
,20,41190654,,,,,,,-111.9572792,33.3716094,,,
,21,41190687,,,,,,,-111.8962446,33.400612,,,
,22,41190689,,,,,,,-111.894493,33.4006187,,,
,23,41190693,,,,,,,-111.893678,33.4006219,,,
,24,41190698,,,,,,,-111.8920213,33.4006283,,,
,25,41190707,,,,,,,-111.8962532,33.4002322,,,
,26,41190709,,,,,,,-111.8973054,33.4002384,,,
,27,41190714,,,,,,,-111.8997258,33.4002384,,,
,28,41190717,,,,,,,-111.9005361,33.4002251,,,
,29,41190722,,,,,,,-111.9011792,33.4002337,,,
,30,41190725,,,,,,,-111.9021891,33.4002169,,,
,31,41190728,,,,,,,-111.9031934,33.4001524,,,
,32,41190732,,,,,,,-111.9041338,33.4001515,,,
,33,41190735,,,,,,,-111.9063213,33.4001518,,,
,34,41190739,,,,,,,-111.9073825,33.4001524,,,
,35,41190744,,,,,,,-111.9084576,33.400148,,,
,36,41190746,traffic_signals,,signal,,,,-111.909133,33.4001487,,,
,37,41190750,,,,,,,-111.909674,33.400147,,,
,38,41190754,,,,,,,-111.9106696,33.3998786,,,
,39,41190758,,,,,,,-111.9116133,33.3995853,,,
,40,41190762,,,,,,,-111.9127316,33.3992751,,,
,41,41190767,,,,,,,-111.9133634,33.3991494,,,
,42,41190773,,,,,,,-111.9161644,33.3991081,,,
,43,41190777,turning_circle,,,,,,-111.9167437,33.3992226,,,
,44,41190787,turning_circle,,,,,,-111.9021977,33.4004391,,,
,45,41190793,turning_circle,,,,,,-111.889797,33.400646,,,
,46,41190794,,,,,,,-111.8888208,33.4006495,,,
,47,41190797,,,,,,,-111.8872758,33.400671,,,
,48,41190801,,,,,,,-111.8862802,33.4008143,,,
,49,41190806,turning_circle,,,,,,-111.9011792,33.4005112,,,
,50,41190810,turning_circle,,,,,,-111.9084449,33.4005639,,,
,51,41190815,turning_circle,,,,,,-111.9073825,33.4005537,,,
,52,41190820,turning_circle,,,,,,-111.9063128,33.4004413,,,
,53,5200239415,,,,,,,-111.9344308,33.4001595,,,
,54,41190834,,,,,,,-111.9324546,33.4001882,,,
,55,41190837,,,,,,,-111.9306007,33.4002025,,,
,56,41190839,,,,,,,-111.928231,33.4002179,,,
,57,41190840,,,,,,,-111.9273563,33.400224,,,
,58,5200239414,,,,,,,-111.9268039,33.4002279,,,
,59,41190864,,,,,,,-111.9050645,33.4011258,,,
,60,41190865,turning_circle,,,,,,-111.9050555,33.4014572,,,
,61,41190902,,,,,,,-111.9734513,33.3918302,,,
,62,41190905,,,,,,,-111.9740521,33.3918302,,,
,63,41190907,,,,,,,-111.9754662,33.3918311,,,
,64,41190911,,,,,,,-111.9759404,33.3908126,,,
,65,255734122,motorway_junction,,,,,,-111.9678428,33.3922814,,,
,66,255734135,,,,,,,-111.9682176,33.3842412,,,
,67,41216719,traffic_signals,,signal,,,,-111.9782891,33.4073275,,,
,69,41216723,motorway_junction,,,,,,-111.9723981,33.3111425,,,
,70,5726433512,,,,,,,-111.9727488,33.3076755,,,
,71,316115414,,,,,,,-111.9782579,33.4348286,,,
,72,256194249,,,,,,,-111.9738299,33.4371135,,,
,73,41242964,motorway_junction,,,,,,-111.9720741,33.3138372,,,
,74,2140214477,,,,,,,-111.9717703,33.317674,,,
,75,41245417,,,,,,,-111.9233183,33.3318748,,,
,76,41245420,,,,,,,-111.9228805,33.3314804,,,
,77,41245428,,,,,,,-111.9223999,33.330376,,,
,78,41245432,,,,,,,-111.9227089,33.32958,,,
,79,41245435,,,,,,,-111.9240307,33.329372,,,
,80,41259724,motorway_junction,,,,,,-111.933892,33.3857087,,,
,81,4347614166,,,,,,,-111.9386661,33.3859575,,,
,82,10263942608,,,,,,,-111.9485881,33.4445865,,,
,83,41265242,,,,,,,-111.9489708,33.4442238,,,
,84,41267598,motorway_junction,,,,,,-111.9711154,33.3546267,,,
,85,2301213547,,,,,,,-111.9722249,33.3508115,,,
,86,41280988,,,,,,,-111.908755,33.3594637,,,
,87,41280990,,,,,,,-111.9081627,33.3599727,,,
,88,41298987,,,,,,,-111.9320793,33.3847713,,,
,89,41298988,turning_circle,,,,,,-111.932083,33.3845928,,,
,90,41306462,,,,,,,-111.97864,33.4268424,,,
,91,1584142620,,,,,,,-111.9801376,33.4219627,,,
,92,255735872,motorway_junction,,,,,,-111.945265,33.3854478,,,
,93,2941419386,,,,,,,-111.940624,33.3851561,,,
,94,255736046,motorway_junction,,,,,,-111.9324545,33.385457,,,
,95,255736050,,,,,,,-111.927636,33.3850912,,,
,96,41330869,,,,,,,-111.9214042,33.3316382,,,
,97,2479791020,,,,,,,-111.9209547,33.3316267,,,
,98,41330885,,,,,,,-111.9208978,33.3347002,,,
,99,41330886,,,,,,,-111.9208863,33.3339193,,,
,100,41330888,,,,,,,-111.9208593,33.3327662,,,
,101,2479791029,,,,,,,-111.9208363,33.3317087,,,
,102,41331491,turning_circle,,,,,,-111.9224771,33.3317672,,,
,103,41331510,turning_circle,,,,,,-111.9230779,33.3303473,,,
,104,41331521,turning_circle,,,,,,-111.9225008,33.3276079,,,
,105,255736909,motorway_junction,,,,,,-111.8907039,33.3858465,,,
,106,255736900,,,,,,,-111.8954228,33.3861908,,,
,107,42230556,motorway_junction,,,,,,-111.9678286,33.3746238,,,
,108,6065736557,,,,,,,-111.9676392,33.3775016,,,
,109,255736552,motorway_junction,,,,,,-111.9163787,33.3855287,,,
,110,255736548,,,,,,,-111.9106005,33.3852456,,,
,111,41354750,,,,,,,-111.8933128,33.420364,,,
,112,41354755,,,,,,,-111.8928845,33.4204181,,,
,113,41359339,motorway_junction,,,,,,-111.9721013,33.3429747,,,
,114,2301213329,,,,,,,-111.9715738,33.34709,,,
,115,255663799,motorway_junction,,,,,,-111.89027,33.3856347,,,
,116,5742275126,,,,,,,-111.8833137,33.3853375,,,
,117,41372699,,,,,,,-111.9156887,33.3250245,,,
,118,41372702,turning_circle,,,,,,-111.9156832,33.3253066,,,
,119,41372709,,,,,,,-111.9240135,33.3317314,,,
,120,41382577,,,,,,,-111.888284,33.3646223,,,
,121,41382578,turning_circle,,,,,,-111.8881725,33.3645005,,,
,122,41382585,,,,,,,-111.8908575,33.3557342,,,
,123,41382587,turning_circle,,,,,,-111.8907285,33.3559435,,,
,124,41387793,motorway_junction,,,,,,-111.9809499,33.4467727,,,
,125,331861541,,,,,,,-111.9807232,33.44755,,,
,126,10608678205,,,,,,,-111.9829217,33.4477788,,,
,127,41397712,,,,,,,-111.9822508,33.4469238,,,
