intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
McAllister Avenue & Apache Boulevard," Bullhead City, AZ",75,,68,-114.60565228902065,35.09101020420399
Rural Road & Apache Boulevard," Bullhead City, AZ",76,,69,-114.60565228902065,35.09101020420399
52nd Street & Broadway Road," Bullhead City, AZ",80,,70,-111.96582999637621,33.4075299945695
Rural Road & Spence Ave," Bullhead City, AZ",82,,71,-111.92627998624289,33.412860004889254
48th Street & Broadway Road," Bullhead City, AZ",83,,72,-111.72771999227243,33.40833997978285
48th Street & Broadway Frontage," Bullhead City, AZ",84,,73,-114.57717999999994,35.12679000000003
Old 52nd & Broadway Road," Bullhead City, AZ",85,,74,,
Priest Drive & Broadway Road," Bullhead City, AZ",86,,75,-111.96077000906728,33.40742999846462
Industrial Park Avenue & Beck Avenue & Broadway Road," Bullhead City, AZ",87,,76,,
Hardy & Broadway Road," Bullhead City, AZ",88,,77,-111.95216003430642,33.407390016786465
Roosevelt Street & Broadway Road," Bullhead City, AZ",89,,78,-111.94780999419643,33.407380000412175
Broadway Road & Broadway Frontage," Bullhead City, AZ",90,,79,-114.57717999999994,35.12679000000003
Mill Avenue & Broadway Road," Bullhead City, AZ",91,,80,-111.93985003602684,33.40741000762554
College Avenue & Broadway Road," Bullhead City, AZ",92,,81,-111.93490001928755,33.407380000412175
Rural Road & Vista Del Corro," Bullhead City, AZ",93,,82,-111.99791999999997,33.57199000000003
Rural Road & Broadway Road," Bullhead City, AZ",94,,83,-111.92627998624289,33.40744001483891
Terrace Road & Broadway Road," Bullhead City, AZ",96,,84,-114.62210160835329,35.1186642319836
Dorsey Lane & Broadway Road," Bullhead City, AZ",97,,85,-111.91767998594683,33.40744001483891
McClintock Drive & Broadway Road," Bullhead City, AZ",99,,86,-111.90907998565076,33.40742999846462
College & Continental," Bullhead City, AZ",101,,87,-111.9350099898572,33.45835001834591
River Drive & Broadway Road," Bullhead City, AZ",102,,88,,
Price Freeway SB & Broadway Road," Bullhead City, AZ",103,,89,-111.89105998347097,33.4073600095731
Priest Drive & Fountainhead Pkwy," Bullhead City, AZ",104,,90,-111.96081996521019,33.40368999326773
Priest Drive & Fairmont Dr," Bullhead City, AZ",105,,91,-111.96077000906728,33.39646998951048
Rural Road & Broadmor Drive," Bullhead City, AZ",106,,92,-114.54061000353684,35.08660000520134
48th Street & Cotton Center Blvd," Bullhead City, AZ",107,,93,-114.60806001657996,35.08852501403937
48th Street & Alameda Dr," Bullhead City, AZ",108,,94,-111.9783099796522,33.40004998417574
Priest Drive & Alameda Dr," Bullhead City, AZ",109,,95,-111.96076003460249,33.40014000581584
Hardy & Alameda Dr," Bullhead City, AZ",110,,96,-111.95210999434447,33.400109998602474
Mill Avenue & Alameda Dr," Bullhead City, AZ",111,,97,-111.93969999996,33.400109998602474
College Avenue & Alameda Dr," Bullhead City, AZ",112,,98,-111.93488996100373,33.40015999665491
Rural Road & Alameda Dr," Bullhead City, AZ",113,,99,-111.92630001899148,33.40024000192072
McClintock Drive & Alameda Drive," Bullhead City, AZ",114,,100,-111.9091199673289,33.40014000581584
McClintock Drive & Campus Drive," Bullhead City, AZ",115,,101,-111.90913002561271,33.398380015696574
McClintock Drive & Del Rio Drive," Bullhead City, AZ",116,,102,-114.5650750198754,35.14804436945647
Mill Avenue & Broadmor Dr," Bullhead City, AZ",117,,103,-114.54061000353684,35.08660000520134
48th Street & Southern Ave," Bullhead City, AZ",118,,104,-111.72749996731407,33.393820008912044
Potter & Southern Ave," Bullhead City, AZ",119,,105,-111.97229001297256,33.39280001511462
Priest Drive & Southern Ave," Bullhead City, AZ",120,,106,-111.96077998353205,33.39285998763184
Hardy & Southern Ave," Bullhead City, AZ",121,,107,-111.95195995827763,33.39285998763184
Roosevelt Street & Southern Ave," Bullhead City, AZ",122,,108,-111.94778996144784,33.39283999679277
Kyrene Rd. & Southern Ave," Bullhead City, AZ",123,,109,-111.94367000458001,33.39283999679277
Mill Avenue & Southern Ave," Bullhead City, AZ",124,,110,-111.93960000385512,33.39285998763184
College Avenue & Southern Ave," Bullhead City, AZ",125,,111,-111.93490001928755,33.39290001121951
Butte Ave & Southern Ave," Bullhead City, AZ",126,,112,-111.91136003095254,33.392989990950085
Rural Road & Southern Ave," Bullhead City, AZ",127,,113,-111.92634000066963,33.39295998373673
Terrace Rd & Southern Ave," Bullhead City, AZ",128,,114,-111.92299000542751,33.39295998373673
Dorsey Ave & Southern Ave," Bullhead City, AZ",129,,115,-111.91773002590878,33.39298001648531
McClintock Drive & Southern Ave," Bullhead City, AZ",130,,116,-111.90913002561271,33.39297000011102
Los Feliz Drive & Southern Ave," Bullhead City, AZ",131,,117,-111.90483999992946,33.39298001648531
Country Club Way & Southern Ave," Bullhead City, AZ",132,,118,-111.9005499742462,33.39300000732439
13th Street & Apache Boulevard," Bullhead City, AZ",134,,119,-114.60565228902065,35.09101020420399
Price Freeway SB & Southern Ave," Bullhead City, AZ",135,,120,-111.89101002732806,33.392820005953695
Evergreen & Southern Ave," Bullhead City, AZ",138,,121,-111.88327001029778,33.39300998178916
Mill Avenue & Hermosa Drive," Bullhead City, AZ",139,,122,-114.62365499090994,35.09617200395052
Priest Drive & US 60 WB," Bullhead City, AZ",140,,123,-111.96091996131507,33.38758001727404
Mill Avenue & US 60 WB," Bullhead City, AZ",141,,124,-111.93949003328547,33.38565000024887
Rural Road & US 60 WB," Bullhead City, AZ",142,,125,-111.92657997455755,33.38569999830132
Rio Salado Parkway & 1st Street," Bullhead City, AZ",143,,126,-114.5706473073874,35.14244267227554
McClintock Drive & US 60 WB," Bullhead City, AZ",144,,127,-111.90927000339575,33.38581001078049
Rural Road & Embassy Suites," Bullhead City, AZ",147,,128,-111.92882999999995,33.38412000000005
Rural Road & Southshore," Bullhead City, AZ",149,,129,-114.57717999999994,35.12679000000003
Rural Road & Minton," Bullhead City, AZ",150,,130,-111.92850001711794,33.37992997997438
Calle Los Cerros & Baseline," Bullhead City, AZ",152,,131,-111.97406001946612,33.37821001344277
Point Pkwy & Baseline," Bullhead City, AZ",153,,132,-114.61020985868856,35.11216318407922
Wendler & Baseline," Bullhead City, AZ",154,,133,-111.9697399865695,33.378349991225804
I-10 EB on-ramp & Baseline," Bullhead City, AZ",155,,134,-114.61020985868856,35.11216318407922
Priest Drive & Baseline," Bullhead City, AZ",156,,135,-114.61020985868856,35.11216318407922
Darrow Dr & Baseline," Bullhead City, AZ",157,,136,-114.61020985868856,35.11216318407922
Hardy & Baseline," Bullhead City, AZ",159,,137,-114.61020985868856,35.11216318407922
Kyrene & Baseline," Bullhead City, AZ",160,,138,-114.61020985868856,35.11216318407922
Mill Avenue & Baseline," Bullhead City, AZ",162,,139,-114.61020985868856,35.11216318407922
College & Baseline," Bullhead City, AZ",163,,140,-111.93524996374512,33.378230004281846
Rural Road & Baseline," Bullhead City, AZ",165,,141,-114.61020985868856,35.11216318407922
Lakeshore & Baseline," Bullhead City, AZ",166,,142,-111.92056998234268,33.378319984012435
McClintock Drive & Baseline," Bullhead City, AZ",168,,143,-111.90926002893097,33.378429996491604
County Club Way & Baseline," Bullhead City, AZ",170,,144,-114.61020985868856,35.11216318407922
Priest & Grove Parkway," Bullhead City, AZ",171,,145,-111.96250502111508,33.35166500804558
Price Freeway SB & Baseline," Bullhead City, AZ",172,,146,-114.57717999999994,35.12679000000003
Rural Road & Westchester," Bullhead City, AZ",174,,147,-111.92861996215238,33.36739999864595
McClintock Drive & Southshore & Cornell," Bullhead City, AZ",175,,148,-111.9113000165258,33.37222001206699
McClintock Drive & Watson," Bullhead City, AZ",177,,149,-111.91127998377722,33.369389988188345
Hardy & Guadalupe," Bullhead City, AZ",178,,150,-111.95450998468068,33.363670009823366
Kyrene & Guadalupe," Bullhead City, AZ",180,,151,-111.94587997717126,33.36365001898429
Maple & Guadalupe," Bullhead City, AZ",181,,152,-111.93900002722582,33.363700017036734
Rural Road & Guadalupe," Bullhead City, AZ",183,,153,-111.92860001322282,33.36375001508917
Lakeshore & Guadalupe," Bullhead City, AZ",184,,154,-111.91990999128666,33.363759989553955
McClintock Drive & Guadalupe," Bullhead City, AZ",186,,155,-111.91123002763429,33.363770005928245
Country Club Way & Guadalupe," Bullhead City, AZ",188,,156,-111.90260002012485,33.36380998760639
Price Freeway NB & Guadalupe," Bullhead City, AZ",191,,157,-111.8938100020838,33.36395000729894
Rural Road & Bell De Mar," Bullhead City, AZ",193,,158,-114.57717999999994,35.12679000000003
McClintock Drive & Bell De Mar," Bullhead City, AZ",195,,159,-111.91120999488571,33.35970000520335
Kyrene & Grove Parkway," Bullhead City, AZ",196,,160,-111.94767999087819,33.35482001926509
Rural Road & Western Canal Path," Bullhead City, AZ",197,,161,-114.57717999999994,35.12679000000003
McClintock Drive & Western Canal Path," Bullhead City, AZ",198,,162,-114.57717999999994,35.12679000000003
Mill Avenue & Apache Boulevard," Bullhead City, AZ",201,,163,-114.60565228902065,35.09101020420399
I-10 EB & Elliot," Bullhead City, AZ",202,,164,-111.97206001354944,33.348969995672334
Harl & Elliot," Bullhead City, AZ",203,,165,-111.96589998526774,33.34914999704303
Priest & Elliot," Bullhead City, AZ",204,,166,-111.96323001383023,33.34901999372478
Beck & Elliot," Bullhead City, AZ",205,,167,-114.57717999999994,35.12679000000003
Hardy & Elliot," Bullhead City, AZ",206,,168,-111.95444997025395,33.34906999177721
Kyrene & Elliot," Bullhead City, AZ",208,,169,-111.94573999938822,33.34911998982966
Canal & Elliot," Bullhead City, AZ",209,,170,-114.62073199991289,34.96575263153164
Rural Road & Elliot," Bullhead City, AZ",210,,171,-111.92847000990457,33.349110015364886
Lakeshore & Elliot," Bullhead City, AZ",213,,172,-111.91980002071699,33.34908998261629
McClintock Drive & Elliot," Bullhead City, AZ",215,,173,-111.91120002042092,33.349039984563845
Los Feliz & Elliot," Bullhead City, AZ",216,,174,-111.90683003138138,33.349110015364886
River & Elliot," Bullhead City, AZ",219,,175,-114.56682770383496,35.179881852501005
Price Freeway SB & Elliot," Bullhead City, AZ",220,,176,-111.8934140831204,33.34923199342721
Priest & Auto Dr," Bullhead City, AZ",221,,177,-111.96313001772535,33.345489997111954
Rural Road & Carver," Bullhead City, AZ",222,,178,-111.9284400026912,33.341920018820986
Scottsdale Road & Playa Del Norte," Bullhead City, AZ",224,,179,-111.92626003731334,33.43403998456618
Scottsdale Road & Hancock Avenue," Bullhead City, AZ",225,,180,-111.92643999677452,33.44665001306993
Priest & Ruby," Bullhead City, AZ",226,,181,-114.60342720949852,34.994776800276476
Harl & Warner," Bullhead City, AZ",228,,182,-111.96668997964201,33.33450999731873
