intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
SR 95 & Camp Mohave South & Camp Mohave South," Tempe, AZ",39,,0,,
SR 95 & Aztec Rd & Aztec Rd," Tempe, AZ",75,,1,,
SR 95 & El Rodeo Rd," Tempe, AZ",78,,2,-114.59796996535638,35.01149999676808
SR 95 & E Hammer Ln," Tempe, AZ",80,,3,-114.59798999810498,35.00422002049359
SR 95 & Joy Ln," Tempe, AZ",82,,4,-114.59802000531835,34.99695001868389
SR 95 & E Lipan Blvd & E Lipan Blvd," Tempe, AZ",84,,5,,
SR 95 & Boundary Cone Rd & Boundary Cone Rd," Tempe, AZ",87,,6,,
SR 95 & Fairway Vlg Blvd," Tempe, AZ",98,,7,-114.59798999810498,34.978839994864
