RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD
Up Node,2,1,1,1,3,3,3,71,71,71,72,72,72,,,,,,,,,,,,,,
Dest Node,2,71,3,72,72,1,71,3,72,1,1,71,3,,,,,,,,,,,,,,
Lanes,2,2,2,0,1,2,2,2,1,0,1,1,1,,,,,,,,,,,,,,
Shared,2,0,2,,0,0,,0,2,,0,0,,,,,,,,,,,,,,,
Width,2,12,12,12,16,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,2,140,,,150,,150,150,,,130,,180,,,,,,,,,,,,,,
Taper,2,25,,,25,,25,25,,,25,,25,,,,,,,,,,,,,,
StLanes,2,2,,,1,,1,1,,,1,,1,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,2,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,2,,,,,,6,,,,,,4,,,,,,,,,,,,,,
LostTime,2,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,2,0.5,-1.7,0,0.5,-1.7,-1.7,0.5,-2.4,0,0.5,-2.4,-2.4,,,,,,,,,,,,,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,2,3433,3536,0,2006,3539,2787,3433,1609,0,1770,1863,1583,,,,,,,,,,,,,,
SatFlowPerm,2,3433,3536,0,2006,3539,2787,3433,1609,0,1770,1863,1583,,,,,,,,,,,,,,
Allow RTOR,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,2,0,1,0,0,0,205,0,38,0,0,0,148,,,,,,,,,,,,,,
Volume,2,55,1314,10,10,912,44,72,4,35,14,4,33,,,,,,,,,,,,,,
Peds,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,2,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,2,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,2,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,2,,1612,,,1574,,,520,,,611,,,,,,,,,,,,,,,
